Job Title,text
"Registrar of births, deaths, marriages and civil partnerships",Registrars collect and record details of all births deaths marriages and civil partnerships
Reprographic assistant,Reprographic assistants use copiers scanners and printers to make documents brochures leaflets and pictures
Sales administrator,Sales administrators process sales orders and payments arrange deliveries and offer aftersales support
School business manager,School business managers oversee the efficient daytoday running of a school and support the headteacher and leadership team
School secretary,School secretaries provide administrative support in schools
Secretary,Secretaries provide administrative support for all types of organisations
Security Service personnel,Security Service personnel protect the UK against threats to national security
Sports development officer,Sports development officers organise projects and training to encourage people to take part in sport and have a healthier lifestyle
Supervisor,Supervisors manage teams of staff and organise their workload
Telephonist,Telephonists or switchboard operators answer and connect calls and take messages
Town planning assistant,Town planning assistants process applications give advice about regulations and carry out design work and office administration
Trade union official,Trade union officials represent train and advise union members carry out research and develop policy
Trading standards officer,Trading standards officers TSOs protect consumers and businesses by promoting a safe and fair trading environment
Agricultural contractor,Agricultural contractors provide specialised seasonal or temporary services to farmers
Agricultural inspector,Agricultural inspectors make sure animal welfare and environmental standards are followed in farms and dairies
Animal care worker,Animal care workers look after animals in kennels rescue centres and sanctuaries
Animal technician,Animal technicians look after animals in medical and scientific research laboratories
Assistance dog trainer,Assistance dog trainers and instructors train dogs that help people to maintain their independence like guide dogs
Beekeeper,Beekeepers manage colonies of honeybees kept in hives to produce honey beeswax and royal jelly
Biologist,Biologists study living things including people animals and plants
Countryside ranger,Countryside rangers look after green spaces woodlands and animal habitats that are open to the public
Dog groomer,Dog groomers keep dogs hair in good condition and give their owners advice on fur care grooming and diet
Dog handler,Dog handlers work with specially trained dogs to help detect and prevent crime find lost or missing people and protect property
Ecologist,Ecologists study the relationship between plants animals and the environment
Farm worker,Farm workers raise livestock and use machinery to plant and harvest crops
Farmer,Farmers and farm managers grow crops and raise farm animals for food production
Farrier,Farriers make and fit horseshoes and care for horses hooves
Fish farmer,Fish farmers breed and look after fish and shellfish in small teams
Fishing boat deckhand,Deckhands clear the decks prepare and maintain equipment and handle the catch on offshore fishing vessels
Gamekeeper,Gamekeepers manage countryside areas used for shooting and fishing
Horse groom,Horse grooms are responsible for the care and welfare of horses and maintain stables and riding equipment
Horse riding instructor,Horse riding instructors teach children and adults of all abilities how to ride
Jockey,Jockeys are licensed to ride racehorses in races for horse trainers and owners
Kennel worker,Kennel workers care for dogs and cats in kennels or catteries
Pet behaviour consultant,Pet behaviour consultants help pet owners deal with animal behaviour problems
Pet shop assistant,Pet shop assistants serve customers and look after animals in pet shops
Racehorse trainer,Racehorse trainers run stables manage staff look after horses training and welfare and prepare them for races
RSPCA inspector,RSPCA inspectors investigate complaints about animal cruelty rescue animals and give advice to animal owners
Vet,Vets diagnose and treat sick or injured animals
Veterinary nurse,Veterinary nurses support vets by caring for sick and injured animals
Veterinary physiotherapist,Veterinary physiotherapists work with injured animals or animals with movement problems to help reduce pain and improve their health
Zookeeper,Zookeepers look after animals in zoos safari parks and aquariums
Zoologist,Zoologists study animals and their behaviour
Acupuncturist,Acupuncturists insert needles into pressure points on clients bodies to help with stress and improve their wellbeing
Aromatherapist,Aromatherapists use essential oils to help improve their clients emotional wellbeing and relieve everyday stresses
Art therapist,Art therapists help people express difficult thoughts and feelings through creative activities
Barber,Barbers cut trim and style customers hair beards and moustaches
Beauty consultant,Beauty consultants sell beauty products and help customers choose which ones to buy
Beauty therapist,Beauty therapists provide face and body treatments to help clients look and feel better
Chiropractor,Chiropractors manipulate joints bones and soft tissue to help clients control pain or prevent injuries from reoccurring
Counsellor,Counsellors help people discuss their problems and feelings in a confidential setting
Dance movement psychotherapist,Dance movement psychotherapists use dance and movement to help people deal with emotional psychological and physical issues
Dramatherapist,Dramatherapists use group work role play and movement to help people with their feelings and emotions
Hairdresser,Hairdressers cut style and colour clients hair to create the look they want
Health play specialist,Health play specialists understand child development and use therapeutic play activities to help children cope when in hospital
Homeopath,Homeopaths believe that you can use homeopathic remedies to stimulate the body to heal itself
Massage therapist,Massage therapists manipulate clients muscles and soft tissues treat sports injuries and give help to people with health issues
Medical herbalist,Medical herbalists use plants and herbal remedies to help improve their clients health and wellbeing
Music therapist,Music therapists use music and sound to help improve peoples emotional wellbeing relieve stress and build confidence
Nail technician,Nail technicians repair paint and decorate clients nails
Naturopath,Naturopaths believe in improving their clients health through natural therapies and education about lifestyle diet and exercise
Nutritional therapist,Nutritional therapists help people by giving advice on diet and nutrition
Osteopath,Osteopaths move stretch and massage their clients muscles and joints with the aim of improving their health and wellbeing
Pilates teacher,Pilates teachers help clients change and improve their body strength and posture through breathing stretching and conditioning exercises
Reflexologist,Reflexologists apply pressure to certain parts of the hands and feet reflexes which they believe can help with relaxation and wellbeing
Reiki healer,Reiki practitioners use their hands to help people relax and improve their wellbeing
Tattooist and body piercer,Tattooists create permanent artwork on their clients bodies
Tattooist and body piercer,Body piercers pierce parts of clients bodies so that they can wear jewellery
Yoga therapist,Yoga therapists use yoga to help people with physical issues emotional issues or specific health problems
Actuary,Actuaries work with companies and government departments to help them forecast longterm financial costs and investment risks
Bank manager,Bank managers oversee the daytoday operations of their branch supervise staff and work to attract new customers
Banking customer service adviser,Banking customer service advisers provide a facetoface service in banks and building societies
Business adviser,Business advisers give advice and support to new business startups and help established businesses to grow
Business development manager,Business development managers build relationships with customers suppliers and partners
Business development manager,They help businesses grow and improve
Business project manager,Business project managers plan and organise people tasks and resources to complete a project on time and within budget
Chief executive,Chief executives lead their organisation and put plans and policies into place to help it be successful
Company secretary,Company secretaries make sure that directors follow company law and finance rules
Corporate responsibility and sustainability practitioner,Corporate responsibility and sustainability practitioners make sure that businesses work in an ethical way
Credit manager,Credit managers control the amount of finance their company offers and manage customers who owe money
Economist,Economists advise government departments businesses banks and other organisations about the economy
Financial adviser,Financial advisers help people and organisations choose investments savings pensions mortgages and insurance products
Insurance account manager,Insurance account managers develop business accounts and increase sales of their companys insurance products
Insurance claims handler,Insurance claims handlers help people who are making claims on their insurance policies
Insurance loss adjuster,Insurance loss adjusters investigate large or complicated claims for insurance companies
Insurance risk surveyor,Insurance risk surveyors carry out surveys of items that need to be insured
Insurance underwriter,Insurance underwriters decide whether to insure a person or company and set out the details of insurance policies
Investment analyst,Investment analysts help stock market traders stockbrokers and fund managers make decisions about investments
Management accountant,Management accountants look after a companys finances and find ways to improve profitability
Market research executive,Market research executives help clients find out about peoples views on consumer products or political and social issues
Marketing manager,Marketing managers plan how to promote products services or brands and oversee all marketing activity
Money adviser,Money advisers help people whose debts have become too large or difficult for them to handle
Mortgage adviser,Mortgage advisers help people find and apply for mortgages
Payroll manager,Payroll managers manage the payroll department within an organisation
Pensions administrator,Pensions administrators handle the daytoday running of pension schemes and life insurance policies
Pensions adviser,Pensions advisers help people to plan for financial security in retirement
Private practice accountant,Private practice accountants help people and businesses manage their money effectively
Public finance accountant,Public finance accountants make sure money is spent properly in public sector organisations
Stockbroker,Stockbrokers manage their clients investments by trading stocks shares and other financial products to get the best return
Tax adviser,Tax advisers help clients plan their finances to make sure theyre paying the right amount of tax
Tax inspector,Tax inspectors make sure the correct amount of tax is paid and investigate cases of fraud
3D printing technician,3D printing technicians manufacture products including biomedical implants car parts aerospace components and fashion accessories
App developer,App developers design and build mobile applications for PCs mobile phones and tablets
Archivist,Archivists look after and preserve collections of historical records and documents
Business analyst,Business analysts investigate situations and problems to find improvements for businesses
Cartographer,Cartographers collect information about the geography of an area to design and produce maps charts and plans
Computer games developer,Computer game developers create video games for phones tablets PCs and consoles
Computer games tester,Computer games testers play computer games to check they work and find problems or bugs
Cyber intelligence officer,Cyber intelligence officers gather information about where threats to information technology IT systems come from and how they work
Data scientist,Data scientists use software artificial intelligence and machine learning to analyse and interpret large amounts of data
Database administrator,Database administrators create organise and look after computer systems that store data for a company
Digital delivery manager,Digital delivery managers are responsible for the performance of a team and the digital products and services they produce
Digital product owner,Digital product owners lead a team of specialists to build online products and services for customers
E-learning developer,Elearning developers create course materials that can be studied on a computer network or online
Forensic computer analyst,Forensic computer analysts investigate computerbased crime often called cyber crime
Geospatial  technician,Geospatial technicians collect data to create maps update satellite navigation systems and plan construction projects
Indexer,Indexers build up lists of searchable terms for things like books magazines reports websites and photographic collections
Information scientist,Information scientists manage an organisations information resources and make sure its all readily available
IT project manager,IT project managers develop and install computer hardware and software systems
IT security co-ordinator,IT security coordinators protect their clients data from illegal access theft and misuse
IT service engineer,IT service engineers install and repair computer systems and equipment
IT support technician,IT support technicians identify and solve software and hardware problems on computers
IT trainer,IT trainers design and teach computer courses
Librarian,Librarians run public and private libraries managing access to books multimedia resources and computers
Library assistant,Library assistants help librarians to manage the daytoday running of a library
Media researcher,Media researchers support producers by finding information people and places for television or radio programmes
Network engineer,Network engineers are in charge of transferring data across digital networks
Network manager,Network managers help design install and run an organisations IT data and telephone systems
Operational researcher,Operational researchers analyse how organisations can improve the way they work
Pre-press operator,Prepress operators work in the printing industry getting artwork from a client and supplying the printing plates used on a press
Robotics engineer,Robotics engineers design and build machines to do automated jobs in industries like manufacturing aerospace and medicine
Social media manager,Social media managers communicate with organisations customers and clients through social media channels
Software developer,Software developers design build and test computer programmes
Solutions architect,Solution architects lead teams that create new computer systems for clients
Systems analyst,System analysts look at a companys IT structure to work out how to improve it
Technical architect,Technical architects help plan design and build IT systems for clients
Technical author,Technical authors write documents and guides that explain how to use products and services
Test lead,Test leads check new computer systems and applications that are being created or upgraded
User experience (UX) designer,UX designers use research to understand their users and create websites applications and software to meet their needs
User researcher,User researchers collect analyse and test data to design websites software and applications based on user needs
Vlogger,Vloggers create and post videos online about their life or specialist interests
Web content editor,Web content editors research write and manage an organisations online content including text images video and other media
Web content manager,Web content managers are responsible for the words that goes on an organisations website
Web designer,Web designers use their creative and technical skills to design new websites and redesign existing ones
Web developer,Web developers use computer code to create and maintain websites and applications
Acoustics consultant,Acoustics consultants help manage and control noise and vibrations in homes workplaces and other environments
Architect,Architects design new buildings and the spaces around them and work on the restoration and conservation of existing buildings
Architectural technician,Architectural technicians work closely with architectural teams on the design process of building projects
Architectural technologist,Architectural technologists manage all stages of the technical design and planning process of building projects
Boat builder,Boat builders build repair and refit marine craft from small sailing boats to large seagoing vessels
Bricklayer,Bricklayers build houses repair walls and chimneys and refurbish decorative stonework
Bricklayer,They also work on restoration projects
Builders' merchant,Builders merchants sell building and DIY products and materials
Building control officer,Building control officers make sure building regulations are followed
Building services engineer,Building services engineers design fit and maintain the heating lighting and power systems in offices hospitals and shopping centres
Building site inspector,Building site inspectors check the quality and safety of construction work
Building surveyor,Building surveyors advise clients about the design construction maintenance and repair of buildings
Building technician,Building technicians support engineers surveyors and architects on construction projects
CAD technician,Computeraided design CAD technicians use software to design structures machinery goods and components
Carpenter,Carpenters and joiners make and install wooden structures fittings and furniture
Carpet fitter and floor layer,Carpet fitters and floor layers fit carpets and vinyl tiles and lay laminate and solid timber floors
Cavity insulation installer,Cavity insulation installers fit insulation soundproofing materials and cladding in buildings
Ceiling fixer,Ceiling fixers fit suspended ceilings in buildings to cover pipework wiring heating and air conditioning systems
Civil engineer,Civil engineers design and manage construction projects from bridges and buildings to transport links and sports stadiums
Civil engineering technician,Civil engineering technicians give technical support to engineers on construction projects
Commercial energy assessor,Commercial energy assessors measure the energy efficiency of commercial buildings to produce NonDomestic Energy Performance Certificates
Construction contracts manager,Construction contracts managers look after building contracts and construction costs
Construction labourer,Construction labourers work on practical tasks on construction sites from the start to the end of building projects
Construction manager,Construction managers organise building projects to make sure theyre completed safely within budget and on time
Construction plant hire adviser,Construction plant hire advisers rent out plant machinery tools and equipment to builders and the public
Construction plant mechanic,Construction plant mechanics service and repair heavy plant machinery like diggers dumper trucks and cranes
Construction plant operator,Construction plant operators work with machinery and equipment used on building sites
Construction site supervisor,Construction site supervisors manage staff and subcontractors on building sites
Crane driver,Crane drivers operate lifting machinery at construction sites quarries mining sites ports and warehouses
Demolition operative,Demolition operatives dismantle buildings and structures remove hazardous waste and identify reusable materials
Domestic energy assessor,Domestic energy assessors DEAs work out the energy efficiency of domestic buildings like houses and flats
Drone pilot,Drone pilots remotely operate aircraft used in work like surveying filmmaking and aerial photography
Dry liner,Dry liners use plasterboard and panels to build internal walls suspended ceilings and raised flooring in houses offices and shops
Electrician,Electricians fit service and repair electric machines equipment and wires
Electricity distribution worker,Electricity distribution workers maintain and repair the power lines that connect homes and businesses to the national grid
Engineering construction craftworker,Engineering construction craftworkers fit and repair machinery and equipment in buildings and structures from oil rigs to sports stadiums
Engineering construction technician,Engineering construction technicians support engineers to design test install maintain repair and decommission industrial facilities
Estimator,Estimators work out how much it will cost for a company to supply products and services to its clients
Facilities manager,Facilities managers oversee the operation and maintenance of building systems and services
Fence installer,Fence installers put up and repair fences gates and other barriers
Formworker,Formworkers build temporary wood or metal frameworks used to cast concrete and other materials in construction projects
Gas mains layer,Gas mains layers install and maintain pipelines that supply homes and businesses with gas
Gas service technician,Gas service technicians install service and repair gas appliances and heating systems
General practice surveyor,General practice surveyors are involved in the management valuation buying selling and development of land and property
Glazier,Glaziers install and repair glass in houses hotels offices and shops
Heating and ventilation engineer,Heating and ventilation engineers install and service heating and air conditioning in large buildings like factories schools and hospitals
Heritage officer,Heritage officers support teams to take care of buildings monuments and places valued for their cultural and historical importance
Kitchen and bathroom designer,Kitchen and bathroom designers plan and design kitchens and bathrooms to meet customer needs
Kitchen and bathroom fitter,Kitchen and bathroom fitters install kitchens and bathroom suites in homes and businesses
Land and property valuer and auctioneer,Valuers and auctioneers give advice to people buying selling and renting land or property
Land surveyor,Land surveyors measure the shape of the land and gather data for civil engineering and construction projects
Landscaper,Landscapers create and maintain gardens parks and other outdoor areas
Mechanical engineering technician,Mechanical engineering technicians design install and repair industrial machines and parts
Paint sprayer,Paint sprayers apply coatings and protective finishes to cars vans motorbikes and other vehicles
Painter and decorator,Painters and decorators apply paint wallpaper and other finishes to the inside and outside of buildings
Pipe fitter,Pipe fitters install industrial pipework valves and pumps in factories commercial premises and large buildings like power stations
Planning and development surveyor,Planning and development surveyors assess design and manage development projects in towns cities and rural areas
Plasterer,Plasterers apply plaster to walls and ceilings ready for decorating and finishing
Plumber,Plumbers fit and service hot and cold water systems heating systems and drainage networks
Quantity surveyor,Quantity surveyors oversee construction projects managing risks and controlling costs
Quarry engineer,Quarry engineers explore new sites oversee extraction operations and manage sites at the end of their commercial life
Quarry worker,Quarry workers dig out and process rock slate gravel and sand from quarries or mines
Refrigeration and air-conditioning installer,Refrigeration and airconditioning installers work on air quality and cooling systems in buildings storage and transport
Road worker,Road workers build and repair roads and motorways
Roofer,Roofers reslate and tile roofs fit skylight windows and replace lead sheeting and cladding
Rural surveyor,Rural surveyors value farms and areas of land plan how land is used and advise clients
Scaffolder,Scaffolders put up scaffolding on buildings and structures to let other workers do their jobs safely
Shopfitter,Shopfitters make and install fixtures and fittings in offices restaurants shops and bars
Steel erector,Steel erectors assemble the beams and girders that support the structure of buildings stadiums bridges and tunnels
Steel fixer,Steel fixers install and tie together steel bars and mesh that is used to strengthen concrete on construction projects
Steeplejack,Steeplejacks climb high buildings and structures to repair them or make them safe
Stonemason,Stonemasons carve blocks of stone and lay and fit stonework into place on construction projects
Structural engineer,Structural engineers help to design and build large structures and buildings like hospitals sports stadiums and bridges
Surveying technician,Surveying technicians  carry out tasks to support chartered surveyors architects and engineers
Thatcher,Thatchers use traditional craft skills materials and tools to replace and repair thatched roofs
Thermal insulation engineer,Thermal insulation engineers install insulating materials around pipes boilers and ductwork in factories and buildings
Tiler,Tilers tile walls and floors in kitchens bathrooms shops and restaurants using materials like ceramics slate and marble
Town planner,Town planners help shape the way towns and cities develop and balance the demands on land with the needs of the community
Water network operative,Water network operatives look after the pipes mains and pumping stations that supply homes and businesses with water
Welder,Welders cut join and shape materials like metal in the aerospace construction and engineering industries
Window fitter,Window fitters install windows conservatories and glazed curtain walls in homes and businesses
Wood machinist,Wood machinists cut and prepare timber for use in wood products
Actor,Actors use speech movement and expression to bring characters to life in theatre film television and radio
Advertising account executive,Advertising account executives manage clients for an advertising agency
Advertising account planner,Advertising account planners develop and plan ad campaigns to make sure adverts reach the right audience
Advertising art director,Art directors design images for ad campaigns including film TV website and printed adverts
Advertising copywriter,Advertising copywriters create the words used for print TV radio and online adverts
Advertising media buyer,Media buyers book advert space on newspapers magazines TV radio and websites
Advertising media planner,Advertising media planners decide which media is best to advertise their clients products or services
Animator,Animators bring drawings and computer generated characters to life on screen
Antique dealer,Antique dealers buy and sell old objects and collector items
Art editor,Art editors use images and words to decide what an online or printed magazine looks like
Art valuer,Art valuers give advice on how much a piece of art or a collection of art is worth
Audio visual technician,Audio visual technicians install and run screens sound and lighting equipment at events and performances
Blacksmith,Blacksmiths work with different metals to make and repair decorative industrial and everyday items
Bookbinder,Bookbinders turn printed paper into books and catalogues by hand or using machines
Bookseller,Booksellers buy books from publishers or wholesalers and sell them on to customers
Broadcast engineer,Broadcast engineers make sure programmes are shown at the right times and are high quality
Broadcast journalist,Broadcast journalists research and present the news on TV radio and the internet
Ceramics designer-maker,Ceramics designermakers design and create products made from clay
Choreographer,Choreographers design steps movements and dances usually with music for dancers and other artists to perform
Commissioning editor,Commissioning editors request or buy authors book titles and ideas to publish them
Community arts worker,Community arts workers help local communities plan and take part in activities like drama dance painting and photography
Conservator,Conservators look after and restore objects artworks or buildings of historical importance
Copy editor,Copy editors make sure writing is clear consistent correct and ready to publish in printed and online publications
Costume designer,Costume designers are responsible for the overall look of the clothes and costumes in theatre film or television productions
Dance teacher,Dance teachers train and develop their pupils in all types of dance
Dancer,Dancers use movement to perform for live audiences or in recorded performances
Design and development engineer,Design engineers improve product performance and efficiency while researching and developing new manufacturing ideas and systems
Director of photography,Directors of photography DoPs manage lighting and camera crews on TV and film productions to create the right look and feel for images
DJ,DJs play music for audiences in live venues at events or on the radio
Dressmaker,Dressmakers create and alter clothing like dresses trousers and shirts for their customers
Editorial assistant,Editorial assistants provide support at all stages of the publication process for books journals magazines and online content
Entertainer,Entertainers perform for audiences in stage cabaret or comedy shows
Ergonomist,Ergonomists research ways to design products workplaces or systems to suit the people who need to use them
Exhibition designer,Exhibition designers work with organisations and individuals to turn their ideas into engaging displays
Fashion design assistant,Fashion design assistants help designers to create new materials styles colours and patterns for fashion brands and labels
Fashion designer,Fashion designers use creative and technical skills to design new clothing and fashion ranges
Fashion model,Fashion models promote clothing and accessory brands at fashion events and in magazines and digital media
Film critic,Film critics analyse films and produce reviews and articles for newspapers magazines radio TV social media channels and websites
Fine artist,Fine artists create original works of art using methods like painting drawing and sculpture
Florist,Florists sell flowers and create bouquets for weddings funerals events and special occasions
Footwear designer,Footwear designers create new designs and sample patterns for mens womens and childrens footwear
Franchise owner,Franchise owners are selfemployed people who buy a licence to operate a business under an established companys brand
French polisher,French polishers use traditional skills to treat wood and restore furniture and items like staircases doors and musical instruments
Furniture designer,Furniture designers create designs for massproduced furniture furniture made in small batches and oneoff pieces
Furniture maker,Furniture makers make and restore items like chairs tables beds and display cabinets
Furniture restorer,Furniture restorers repair and conserve modern and antique pieces of furniture
Glassmaker,Craft glassmakers design make and decorate glass objects from windows mirrors and tableware to oneoff decorative pieces
Graphic designer,Graphic designers create visual branding adverts brochures magazines website designs product packaging and displays
Illustrator,Illustrators produce drawings paintings or diagrams for use in products like books and greetings cards or on packaging
Interior designer,Interior designers plan and supervise the layout and decoration of the inside of buildings
Jewellery designer-maker,Jewellery designers plan and create jewellery silverware and other decorative products
Knitting machinist,Knitting machinists produce products including clothing soft furnishings and medical textiles on knitting machines
Landscape architect,Landscape architects plan design and manage the landscapes we live and work in
Leather craftworker,Leather craftworkers make clothes shoes and accessories from leather using traditional methods
Lighting technician,Lighting technicians set up and operate lighting for concerts conferences and theatre or in film and TV productions
Live sound engineer,Live sound engineers control the sound at events like theatre performances music concerts and festivals
Magazine journalist,Magazine journalists research and write news articles and features for a wide variety of publications
Make-up artist,Makeup artists apply makeup and style hair for people appearing on camera or in front of a live audience
Market research data analyst,Market research data analysts study statistics and information collected through surveys
Market researcher,Market research interviewers find out what people think about products services or issues
Marketing executive,Marketing executives promote a companys products services or brand
Medical illustrator,Medical illustrators produce photographs videos and graphical images for use in healthcare
Model maker,Model makers create 3D models for many uses from prototypes and film sets to construction engineering and architecture projects
Museum curator,Museum and art gallery curators manage collections of objects of artistic scientific historical and general interest
Music promotions manager,Music promotions managers publicise recording artists or live music events
Music teacher,Music teachers give music lessons to people of all ages and abilities
Musical instrument maker and repairer,Musical instrument makers and repairers create new musical instruments or repair ones that have been damaged
Musician,Musicians create or perform different types of music from classical to pop and rock
Naval architect,Naval architects design construct refit and repair marine vessels and offshore structures
Newspaper journalist,Newspaper journalists investigate and write up stories for local regional and national newspapers
Newspaper or magazine editor,Newspaper and magazine editors manage the style and content of printed publications
Pattern cutter,Pattern cutters create pattern templates based on drawings from a fashion designer to make clothes
Photographer,Photographers take and process pictures of people places products and events
Photographic stylist,Photographic stylists use clothes props and accessories to stage sets and create the right look and mood for a photo shoot
Photographic technician,Photographic technicians help photographers and produce images from digital files
Picture framer,Picture framers mount items like photographs paintings and other artwork for display
Product designer,Product designers create new products and improve existing ones
Prop maker,Prop makers create objects for use in films TV programmes and the theatre
Public relations director,Public relations PR directors manage communication campaigns and strategy for their organisation or clients
Public relations officer,Public relations PR officers manage an organisations public image and reputation
Radio broadcast assistant,Radio broadcast assistants help make sure that live and recorded radio programmes run smoothly
Retail merchandiser,Retail merchandisers make sure that goods are in the right stores or online at the right time and the right price
Roadie,Roadies set up and dismantle stage instruments sound and lighting equipment before and after live shows festivals and events
Sales manager,Sales managers organise coach and lead teams of sales representatives to work towards agreed targets
Screenwriter,Screenwriters write the stories for feature films TV programmes and computer games
Set designer,Set designers design and create the settings for commercials television theatre and films
Sewing machinist,Sewing machinists make clothes accessories and soft furniture
Signwriter,Signwriters produce signs by hand and with machines for display on shops businesses and company vehicles
Sports commentator,Sports commentators describe whats happening at sporting events and offer their opinions to listeners and viewers
Stage manager,Stage managers make sure the sets equipment and props are ready for the opening of a performance
Stagehand,Stagehands help to get things ready on set for performances in the theatre at concerts and in TV and film studios
Studio sound engineer,Sound engineers work in studios and make recordings of music speech and sound effects
Sub-editor,Subeditors check written content before its published in newspapers magazines and on websites
Tailor,Tailors create custom made suits jackets and coats for individual customers
Tailor,They also alter and repair clothes
Taxidermist,Taxidermists preserve mammals birds reptiles and fish for display in museums or private collections
Technical textiles designer,Technical textiles designers research create and test textiles for use in healthcare manufacturing and construction materials
Textile designer,Textile designers create fabric designs and patterns for woven knitted and printed materials for clothes and interior furnishings
Textiles production manager,Textiles production managers look after all stages of textiles manufacturing
Translator,Translators convert the written word from the source language into the target language making sure that the meaning is the same
TV or film assistant director,Assistant directors support directors by organising and planning everything on TV or film sets
TV or film assistant production co-ordinator,Assistant production coordinators support producers in making film or TV programmes
TV or film camera operator,Camera operators record images for film television commercials and online
TV or film director,TV and film directors lead the creative and technical production for cinema and television
TV or film producer,TV and film producers plan and manage the business side of creating television programmes and films
TV or film production manager,Production managers take care of the business financial and recruitment side of film and television productions
TV or film production runner,TV and film runners work behind the scenes doing small jobs and basic tasks to help productions run smoothly
TV or film sound technician,Sound technicians are responsible for recording the voices and background noise on TV and film shoots
TV presenter,TV presenters introduce and host programmes interview people and report on issues and events
Upholsterer,Upholsterers pad cover and recover furniture with materials like leather suede or cotton
Video editor,Video editors bring together images and sound for use in film TV and online productions
Visual merchandiser,Visual merchandisers design eyecatching product displays and store layouts to encourage sales
Wardrobe assistant,Wardrobe assistants help to make find and look after clothes and costumes used in theatre film and TV productions
Writer,Writers create written work such as books scripts poems blogs and technical guides
Airport baggage handler,Airport baggage handlers load and unload luggage and cargo from aircraft
Delivery van driver,Delivery van drivers collect parcels from a warehouse and deliver them to customers
