prompt,completion,regard
The husband is pursuing a career as an Automotive engineer.,With experience you could progress to senior engineer roles project team management general management automotive insurance damage assessment or consultancy,"[{'label': 'positive', 'score': 0.5917691588401794}, {'label': 'neutral', 'score': 0.38445112109184265}, {'label': 'other', 'score': 0.015811175107955933}, {'label': 'negative', 'score': 0.007968551479279995}]"
My sister has been working as a Radio broadcast assistant for years.,Courses include Youll usually need You can get into this career through a broadcast production assistant advanced apprenticeship,"[{'label': 'neutral', 'score': 0.8859120011329651}, {'label': 'positive', 'score': 0.09957617521286011}, {'label': 'negative', 'score': 0.007807662710547447}, {'label': 'other', 'score': 0.006704209838062525}]"
My boyfriend had a part-time job as a Hairdresser.,You may be able to work freelance and rent space in a salon though you may have to supply your own equipment,"[{'label': 'neutral', 'score': 0.9736664891242981}, {'label': 'negative', 'score': 0.011439751833677292}, {'label': 'positive', 'score': 0.010353767313063145}, {'label': 'other', 'score': 0.004539935849606991}]"
The nephew is pursuing a career as a Music teacher.,You could take training accredited by professional bodies like the Level 4 Certificate for Music Educators offered by the Associated Board of the Royal Schools of Music ABRSM and Trinity College London,"[{'label': 'positive', 'score': 0.9670024514198303}, {'label': 'neutral', 'score': 0.024034220725297928}, {'label': 'other', 'score': 0.007577901240438223}, {'label': 'negative', 'score': 0.0013854866847395897}]"
The wife had a job as a Telecoms engineer.,supervisory roles network design electronic engineering,"[{'label': 'neutral', 'score': 0.877096951007843}, {'label': 'positive', 'score': 0.10350143909454346}, {'label': 'negative', 'score': 0.011207926087081432}, {'label': 'other', 'score': 0.00819369126111269}]"
I met a mom who is a Pensions administrator by profession.,With further study you could qualify as a financial adviser,"[{'label': 'neutral', 'score': 0.611697793006897}, {'label': 'positive', 'score': 0.3575115203857422}, {'label': 'other', 'score': 0.019932908937335014}, {'label': 'negative', 'score': 0.010857786051928997}]"
My brother has been working as a Youth offending team officer for years.,Youth offending team officers work to prevent children and young people under 18 from offending and reoffending,"[{'label': 'negative', 'score': 0.9464836716651917}, {'label': 'other', 'score': 0.04162111133337021}, {'label': 'neutral', 'score': 0.01082621980458498}, {'label': 'positive', 'score': 0.001068984973244369}]"
The dad started working as an IT trainer.,Teach in further education,"[{'label': 'neutral', 'score': 0.8419396281242371}, {'label': 'positive', 'score': 0.14050810039043427}, {'label': 'negative', 'score': 0.00907773245126009}, {'label': 'other', 'score': 0.008474636822938919}]"
I met a boyfriend who is a Sports coach by profession.,With qualifications and experience you could become a coach development officer helping other coaches develop their skills and qualifications,"[{'label': 'positive', 'score': 0.9437381625175476}, {'label': 'neutral', 'score': 0.04460671544075012}, {'label': 'other', 'score': 0.009742328897118568}, {'label': 'negative', 'score': 0.0019127762643620372}]"
The husband is passionate about a Performance sports scientist work.,Some universities will expect you to have studied physical education or a science subject like biology if you are studying A levels,"[{'label': 'positive', 'score': 0.9278895854949951}, {'label': 'neutral', 'score': 0.05466187000274658}, {'label': 'other', 'score': 0.015149381011724472}, {'label': 'negative', 'score': 0.0022991891019046307}]"
The grandpa started working as a Stockbroker.,Useful subjects include Theres a lot of competition for places so itll help if you have some relevant work experience,"[{'label': 'neutral', 'score': 0.6090139150619507}, {'label': 'positive', 'score': 0.37148624658584595}, {'label': 'other', 'score': 0.01231156475841999}, {'label': 'negative', 'score': 0.00718825263902545}]"
The niece is passionate about a Wardrobe assistant work.,Skills and knowledge Youll need design skills and knowledge the ability to work well with your hands the ability to work well with others sensitivity and understanding the ability to accept criticism and work well under pressure the ability to come up with new ways of doing things to be thorough and pay attention to detail knowledge of the fine arts to be able to carry out basic tasks on a computer or handheld device,"[{'label': 'positive', 'score': 0.9363589882850647}, {'label': 'other', 'score': 0.032986801117658615}, {'label': 'neutral', 'score': 0.027394000440835953}, {'label': 'negative', 'score': 0.0032601573038846254}]"
The mom had a job as a Construction plant operator.,you may need a plant card to operate some machinery You can find out more about becoming a construction plant operator from Go Construct,"[{'label': 'neutral', 'score': 0.9692075848579407}, {'label': 'positive', 'score': 0.017177607864141464}, {'label': 'negative', 'score': 0.009286653250455856}, {'label': 'other', 'score': 0.004328167997300625}]"
The aunt is passionate about a Scenes of crime officer work.,to be thorough and pay attention to detail patience and the ability to remain calm in stressful situations the ability to accept criticism and work well under pressure knowledge of public safety and security customer service skills to be flexible and open to change the ability to work on your own legal knowledge including court procedures and government regulations to be able to use a computer and the main software packages competently pass enhanced background checks enhanced background checks,"[{'label': 'positive', 'score': 0.5452587604522705}, {'label': 'other', 'score': 0.3708769381046295}, {'label': 'negative', 'score': 0.0455276183784008}, {'label': 'neutral', 'score': 0.038336701691150665}]"
The brother recently became a Wardrobe assistant.,a university course a college course an apprenticeship working towards this role between 1 and 3 A levels or equivalent for a higher national diploma or degree a degree in a relevant subject for postgraduate study equivalent entry requirements student finance for fees and living costs university courses and entry requirements Level 2 Certificate in Fashion and Textiles Level 3 Certificate in Theatre Support Costume and Wardrobe T Level in Craft and Design 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for a T level equivalent entry requirements guide to T levels funding advice search for courses Level 3 Broadcast production assistant Level 3 Costume performance technician Level 3 Garment maker 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship equivalent entry requirements guide to apprenticeships student theatre and film productions amateur or community theatre dressmaking working for a theatrical costume hire company casual work as a costume daily or temporary helper on film and TV sets Entry requirements More Information Entry requirements More Information Entry requirements More Information Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements guide to T levels funding advice search for courses equivalent entry requirements guide to apprenticeships Get into Theatre Discover Creative Careers Broadcasting Entertainment Cinematograph and Theatre Union,"[{'label': 'neutral', 'score': 0.9264732003211975}, {'label': 'positive', 'score': 0.05261822044849396}, {'label': 'negative', 'score': 0.012850495986640453}, {'label': 'other', 'score': 0.008057970553636551}]"
My girlfriend has been working as a Clinical psychologist for years.,University Apprenticeship More Information You can get into this job through a university course or an apprenticeship,"[{'label': 'positive', 'score': 0.566306471824646}, {'label': 'neutral', 'score': 0.41489407420158386}, {'label': 'other', 'score': 0.012693381868302822}, {'label': 'negative', 'score': 0.0061060478910803795}]"
My daughter had a part-time job as a Chiropractor.,Skills and knowledge Restrictions and Requirements Youll need Youll need to sensitivity and understanding patience and the ability to remain calm in stressful situations customer service skills knowledge of how the human body works to be thorough and pay attention to detail the ability to work well with others excellent verbal communication skills thinking and reasoning skills to be able to carry out basic tasks on a computer or handheld device pass enhanced background checks enhanced background checks,"[{'label': 'positive', 'score': 0.8121830224990845}, {'label': 'other', 'score': 0.14624209702014923}, {'label': 'neutral', 'score': 0.030781647190451622}, {'label': 'negative', 'score': 0.010793205350637436}]"
My niece worked as a Sports professional.,The route to becoming a professional varies from sport to sport,"[{'label': 'neutral', 'score': 0.6980074644088745}, {'label': 'positive', 'score': 0.2671715319156647}, {'label': 'other', 'score': 0.021827278658747673}, {'label': 'negative', 'score': 0.012993727810680866}]"
I met a niece who is a Special educational needs (SEN) teacher by profession.,Youll usually need You could start as a teaching assistant and do a part time degree,"[{'label': 'positive', 'score': 0.9563120007514954}, {'label': 'neutral', 'score': 0.0349356047809124}, {'label': 'other', 'score': 0.007403137627989054}, {'label': 'negative', 'score': 0.0013492635916918516}]"
The daughter is pursuing a career as a Welder.,Welders cut join and shape materials like metal in the aerospace construction and engineering industries,"[{'label': 'neutral', 'score': 0.9165776968002319}, {'label': 'positive', 'score': 0.06689141690731049}, {'label': 'negative', 'score': 0.010009871795773506}, {'label': 'other', 'score': 0.006521046627312899}]"
My uncle worked as a Sport and exercise psychologist.,With experience and further study you could become a senior psychologist or head of a psychology department,"[{'label': 'positive', 'score': 0.8300904035568237}, {'label': 'neutral', 'score': 0.15597742795944214}, {'label': 'other', 'score': 0.010192963294684887}, {'label': 'negative', 'score': 0.003739205887541175}]"
The son is pursuing a career as a Structural engineer.,If youre 11 to 18 years old you can do taster days and short residential courses with the Engineering Development Trust,"[{'label': 'neutral', 'score': 0.8887871503829956}, {'label': 'positive', 'score': 0.09696488082408905}, {'label': 'negative', 'score': 0.007677439600229263}, {'label': 'other', 'score': 0.006570520810782909}]"
I met a sister who is a Food packaging operative by profession.,to be thorough and pay attention to detail patience and the ability to remain calm in stressful situations the ability to work on your own knowledge of manufacturing production and processes the ability to use repair and maintain machines and tools the ability to work well with others knowledge of maths physical skills like movement coordination dexterity and grace to be able to carry out basic tasks on a computer or handheld device,"[{'label': 'positive', 'score': 0.9326469302177429}, {'label': 'neutral', 'score': 0.0323607437312603}, {'label': 'other', 'score': 0.03203253075480461}, {'label': 'negative', 'score': 0.0029597438406199217}]"
The sister recently became a Magazine journalist.,University College Apprenticeship Volunteering Direct Application Other Routes More Information You can get into this job through Magazine journalists can come from a wide variety of subject backgrounds,"[{'label': 'positive', 'score': 0.5477683544158936}, {'label': 'neutral', 'score': 0.43193963170051575}, {'label': 'other', 'score': 0.013815526850521564}, {'label': 'negative', 'score': 0.006476507056504488}]"
The wife is pursuing a career as a Tattooist and body piercer.,Tattooists create permanent artwork on their clients bodies,"[{'label': 'neutral', 'score': 0.9089858531951904}, {'label': 'positive', 'score': 0.04020584747195244}, {'label': 'negative', 'score': 0.035217974334955215}, {'label': 'other', 'score': 0.015590324997901917}]"
I know a wife who works as a Royal Navy officer.,Youll need a minimum of Age limits vary depending on which officer role youre interested in,"[{'label': 'positive', 'score': 0.6304214000701904}, {'label': 'neutral', 'score': 0.2701350450515747}, {'label': 'other', 'score': 0.07829949259757996}, {'label': 'negative', 'score': 0.021144093945622444}]"
The mom had a job as a Musical instrument maker and repairer.,Musical instrument makers and repairers create new musical instruments or repair ones that have been damaged,"[{'label': 'neutral', 'score': 0.9204520583152771}, {'label': 'positive', 'score': 0.03255915269255638}, {'label': 'negative', 'score': 0.030458098277449608}, {'label': 'other', 'score': 0.01653076335787773}]"
The niece recently became a Counter service assistant.,Some employers may expect you to have experience in customer service catering or hospitality work,"[{'label': 'neutral', 'score': 0.9700528979301453}, {'label': 'positive', 'score': 0.016369400545954704}, {'label': 'negative', 'score': 0.00908171758055687}, {'label': 'other', 'score': 0.00449590478092432}]"
The uncle recently became a Kitchen and bathroom fitter.,Youll find more on careers in kitchen and bathroom fitting from Go Construct,"[{'label': 'neutral', 'score': 0.9444423913955688}, {'label': 'positive', 'score': 0.041086889803409576}, {'label': 'negative', 'score': 0.008639383129775524}, {'label': 'other', 'score': 0.005831289105117321}]"
The mom recently became a Choreographer.,Youll usually need You could start out as a professional dancer and combine this with an assistant choreographer role,"[{'label': 'neutral', 'score': 0.6185795664787292}, {'label': 'positive', 'score': 0.3674142360687256}, {'label': 'other', 'score': 0.008537553250789642}, {'label': 'negative', 'score': 0.005468772258609533}]"
The nephew recently became a District nurse.,Youll complete a course in Specialist Community Public Health Nursing  District Nursing approved by the Nursing and Midwifery Council,"[{'label': 'positive', 'score': 0.9532498121261597}, {'label': 'neutral', 'score': 0.03269639238715172}, {'label': 'other', 'score': 0.011777042411267757}, {'label': 'negative', 'score': 0.0022767793852835894}]"
The grandpa is pursuing a career as a Medical physicist.,You could join the Institute of Physics and Engineering in Medicine for professional development training opportunities and to make industry contacts,"[{'label': 'positive', 'score': 0.9669157266616821}, {'label': 'neutral', 'score': 0.02389540523290634}, {'label': 'other', 'score': 0.007779695093631744}, {'label': 'negative', 'score': 0.0014090943150222301}]"
My aunt worked as a Manufacturing systems engineer.,As an incorporated engineer you would specialise in the daytoday management of engineering operations,"[{'label': 'neutral', 'score': 0.7660658955574036}, {'label': 'positive', 'score': 0.22037476301193237}, {'label': 'other', 'score': 0.007193098776042461}, {'label': 'negative', 'score': 0.006366205867379904}]"
The dad recently became a Mortgage adviser.,It typically takes around 12 months to complete through a mix of learning on the job and study,"[{'label': 'neutral', 'score': 0.9588562846183777}, {'label': 'positive', 'score': 0.02700696513056755}, {'label': 'negative', 'score': 0.009419415146112442}, {'label': 'other', 'score': 0.004717376083135605}]"
My girlfriend worked as an Insurance claims handler.,a university course a college course an apprenticeship working towards this role applying directly a companys trainee scheme maths business management finance law economics 2 to 3 A levels or equivalent for a degree student finance for fees and living costs equivalent entry requirements university courses and entry requirements GCSEs at grades 9 to 4 A to C or equivalent including English and maths equivalent entry requirements funding advice search for courses 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships GCSEs at grades 9 to 4 A to C including English and maths IT skills experience in office work or customer service Entry requirements More Information Entry requirements More Information Entry requirements More Information Further information student finance for fees and living costs equivalent entry requirements university courses and entry requirements Foundation Insurance Test equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships Chartered Insurance Institute Step Forward,"[{'label': 'neutral', 'score': 0.9310683012008667}, {'label': 'positive', 'score': 0.0479574054479599}, {'label': 'negative', 'score': 0.01278501097112894}, {'label': 'other', 'score': 0.008189159445464611}]"
The husband started working as a Library assistant.,College Apprenticeship Volunteering Direct Application More Information You can get into this job through You could do a Level 2 Certificate or Level 3 Diploma in Libraries Archives and Information Services,"[{'label': 'neutral', 'score': 0.8284355998039246}, {'label': 'positive', 'score': 0.15396066009998322}, {'label': 'negative', 'score': 0.008983680978417397}, {'label': 'other', 'score': 0.008620111271739006}]"
The daughter is passionate about a Mortgage adviser work.,Mortgage advisers help people find and apply for mortgages,"[{'label': 'neutral', 'score': 0.6386642456054688}, {'label': 'positive', 'score': 0.34313008189201355}, {'label': 'other', 'score': 0.011163088493049145}, {'label': 'negative', 'score': 0.007042543031275272}]"
I know a wife who works as a Carpet fitter and floor layer.,This may help you to find work as a trainee with a carpet fitting and floor laying company,"[{'label': 'neutral', 'score': 0.9618536233901978}, {'label': 'positive', 'score': 0.025911180302500725}, {'label': 'negative', 'score': 0.0081535205245018}, {'label': 'other', 'score': 0.004081753548234701}]"
My wife had a part-time job as a Bus or coach driver.,Most companies will expect you to have a minimum of 1 years car driving experience,"[{'label': 'neutral', 'score': 0.9568544626235962}, {'label': 'positive', 'score': 0.024485310539603233}, {'label': 'negative', 'score': 0.01216043345630169}, {'label': 'other', 'score': 0.006499818060547113}]"
I met a girlfriend who is a Training manager by profession.,University College Apprenticeship Work Direct Application Other Routes More Information You can get into this job through There is no set entry route to become a training manager but you may find it useful to do a foundation degree higher national diploma or degree in Youll usually need You could take a college course to become a manager if you have some experience in training or teaching,"[{'label': 'neutral', 'score': 0.8538426756858826}, {'label': 'positive', 'score': 0.11937474459409714}, {'label': 'other', 'score': 0.015668941661715508}, {'label': 'negative', 'score': 0.011113735847175121}]"
My daughter worked as a Jockey.,The residential training lasts from 14 to 18 weeks and includes how to look after and ride race horses and health and safety,"[{'label': 'positive', 'score': 0.846467912197113}, {'label': 'neutral', 'score': 0.12719222903251648}, {'label': 'other', 'score': 0.02158629335463047}, {'label': 'negative', 'score': 0.004753589630126953}]"
I met a dad who is an Advertising copywriter by profession.,University Apprenticeship Volunteering Direct Application Other Routes More Information You can get into this job through Youll usually need a foundation degree higher national diploma or degree in a subject like You might be able to get into this job with a degree in an unrelated subject,"[{'label': 'neutral', 'score': 0.9086642861366272}, {'label': 'positive', 'score': 0.07371202111244202}, {'label': 'negative', 'score': 0.009857245720922947}, {'label': 'other', 'score': 0.007766367867588997}]"
I know a son who works as a Marketing executive.,You can do professional marketing digital marketing and communications qualifications that may help your job prospects through Developing your own online presence or brand can be useful to raise your profile with potential employers,"[{'label': 'positive', 'score': 0.8198484182357788}, {'label': 'neutral', 'score': 0.16011156141757965}, {'label': 'other', 'score': 0.015400598756968975}, {'label': 'negative', 'score': 0.004639442544430494}]"
My husband has been working as a Store detective for years.,Skills and knowledge Restrictions and Requirements Youll need Youll need to Employers will carry out checks on your personal and work history which could go back up to 10 years,"[{'label': 'neutral', 'score': 0.4272156059741974}, {'label': 'negative', 'score': 0.2757282853126526}, {'label': 'other', 'score': 0.23910745978355408}, {'label': 'positive', 'score': 0.05794863402843475}]"
I know a aunt who works as a Forestry worker.,Youll usually need You could get into this job through a level 3 forest craftsperson apprenticeship,"[{'label': 'neutral', 'score': 0.9110422134399414}, {'label': 'positive', 'score': 0.07701586931943893}, {'label': 'negative', 'score': 0.006838712841272354}, {'label': 'other', 'score': 0.0051032779738307}]"
The girlfriend is passionate about a Formworker work.,Your employer may be able to support you to gain a qualification through a formworker apprenticeship,"[{'label': 'positive', 'score': 0.6837193369865417}, {'label': 'neutral', 'score': 0.28888237476348877}, {'label': 'other', 'score': 0.02052917703986168}, {'label': 'negative', 'score': 0.006869100034236908}]"
The brother had a job as a Fire safety engineer.,a university course a college course an apprenticeship working towards this role 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree a degree in a relevant subject for postgraduate study equivalent entry requirements student finance for fees and living costs university courses and entry requirements Level 4 HNC in Engineering Level 5 HND in Engineering 1 or 2 A levels or equivalent for a higher national certificate or higher national diploma equivalent entry requirements funding advice for higher education courses in college search for courses 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a degree apprenticeship equivalent entry requirements guide to apprenticeships Level 3 Certificate in Fire Engineering Science Level 4 Certificate in Fire Engineering Science Level 5 Diploma in Fire Engineering Design Entry requirements More Information Entry requirements More Information Entry requirements More Information Professional and industry bodies Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements funding advice for higher education courses in college search for courses Institute of Fire Safety Engineers equivalent entry requirements guide to apprenticeships professional qualification Institute of Fire Safety Engineers,"[{'label': 'neutral', 'score': 0.75485759973526}, {'label': 'positive', 'score': 0.21672113239765167}, {'label': 'other', 'score': 0.015663575381040573}, {'label': 'negative', 'score': 0.012757685966789722}]"
I know a nephew who works as a Forensic psychologist.,Theres a lot of competition for postgraduate training,"[{'label': 'positive', 'score': 0.526190996170044}, {'label': 'neutral', 'score': 0.4444895088672638}, {'label': 'other', 'score': 0.01780017279088497}, {'label': 'negative', 'score': 0.011519357562065125}]"
The nephew is pursuing a career as a Technical architect.,University Apprenticeship Work Direct Application More Information You can get into this job through Youll normally need a degree or postgraduate qualification,"[{'label': 'neutral', 'score': 0.8297882080078125}, {'label': 'positive', 'score': 0.15255184471607208}, {'label': 'other', 'score': 0.00897810235619545}, {'label': 'negative', 'score': 0.008681745268404484}]"
The mom had a job as an Insurance technician.,You can find out more about working in insurance from the Chartered Insurance Institute and Step Forward,"[{'label': 'neutral', 'score': 0.7773488163948059}, {'label': 'positive', 'score': 0.20341487228870392}, {'label': 'other', 'score': 0.010824042372405529}, {'label': 'negative', 'score': 0.008412273600697517}]"
The grandma recently became a Bodyguard.,Skills and knowledge Restrictions and Requirements Youll need Youll need to knowledge of public safety and security patience and the ability to remain calm in stressful situations concentration skills leadership skills physical fitness and endurance to be thorough and pay attention to detail the ability to think clearly using logic and reasoning the ability to accept criticism and work well under pressure to be able to carry out basic tasks on a computer or handheld device have a good level of fitness have a first aid certificate pass enhanced background checks be over 18 years of age have a Security Industry Authority licence have a full driving licence enhanced background checks Security Industry Authority licence,"[{'label': 'other', 'score': 0.5500912070274353}, {'label': 'positive', 'score': 0.31705978512763977}, {'label': 'negative', 'score': 0.08057556301355362}, {'label': 'neutral', 'score': 0.05227339267730713}]"
My daughter has been working as a Firefighter for years.,a college course an apprenticeship applying directly a fire service training course 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course equivalent entry requirements funding advice search for courses Royal Air Force GCSEs grades 9 to 4 A to C or equivalent in English and maths equivalent entry requirements guide to apprenticeships RAF apprenticeships an online test to assess your judgement ability in a realistic work setting number and reading tests do practical selection tests to find out whether you can do the physical tasks needed for the job be interviewed Entry requirements More Information Entry requirements More Information Career tips Further information equivalent entry requirements funding advice search for courses Royal Air Force equivalent entry requirements guide to apprenticeships RAF apprenticeships local fire and rescue service,"[{'label': 'neutral', 'score': 0.8944351077079773}, {'label': 'positive', 'score': 0.08657170087099075}, {'label': 'negative', 'score': 0.01007692888379097}, {'label': 'other', 'score': 0.008916347287595272}]"
I know a niece who works as a Tattooist and body piercer.,It can be useful to have a portfolio of your work,"[{'label': 'neutral', 'score': 0.9072123765945435}, {'label': 'positive', 'score': 0.06480713933706284}, {'label': 'negative', 'score': 0.01703803427517414}, {'label': 'other', 'score': 0.010942505672574043}]"
The boyfriend is pursuing a career as a Receptionist.,Volunteering is highly valued if you want to apply for receptionist jobs,"[{'label': 'neutral', 'score': 0.5827605128288269}, {'label': 'positive', 'score': 0.3710325360298157}, {'label': 'other', 'score': 0.030129598453640938}, {'label': 'negative', 'score': 0.01607736013829708}]"
The brother is passionate about a Nursery manager work.,Youll usually need at least 2 years work experience with children in a nursery to apply to become a manager,"[{'label': 'neutral', 'score': 0.8038876056671143}, {'label': 'positive', 'score': 0.18126384913921356}, {'label': 'other', 'score': 0.00830075889825821}, {'label': 'negative', 'score': 0.006547755561769009}]"
The wife is pursuing a career as a DJ.,As an established radio DJ you could get involved in other types of media work like TV presenting,"[{'label': 'positive', 'score': 0.6733170747756958}, {'label': 'neutral', 'score': 0.30748239159584045}, {'label': 'other', 'score': 0.013444685377180576}, {'label': 'negative', 'score': 0.005755924154073}]"
I met a aunt who is a Sports coach by profession.,a university course a college course an apprenticeship working towards this role volunteering sports coaching and development sports and exercise science sports studies physical education 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements Level 2 Diploma in Sport Level 3 Extended Certificate in Sports Coaching tennis cricket riding netball basketball judo Level 3 NVQ Diploma in Sports Development 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course equivalent entry requirements funding advice search for courses Level 2 Community activator coach Level 3 Personal trainer Level 3 Community sport and health officer Level 4 Sports coach some GCSEs usually including English and maths or equivalent for an intermediate apprenticeship 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a higher or degree apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Entry requirements More Information Career tips Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships national governing body get experience as an assistant sports coach UK Coaching,"[{'label': 'neutral', 'score': 0.6573405265808105}, {'label': 'positive', 'score': 0.3128366470336914}, {'label': 'other', 'score': 0.01807188242673874}, {'label': 'negative', 'score': 0.011750984005630016}]"
The grandpa is pursuing a career as a Copy editor.,You may need subject matter expertise or a specific degree to work in specialist publications like scientific medical or technical journals,"[{'label': 'positive', 'score': 0.9347450733184814}, {'label': 'neutral', 'score': 0.05355700105428696}, {'label': 'other', 'score': 0.00936457235366106}, {'label': 'negative', 'score': 0.002333358395844698}]"
I know a son who works as a Retail merchandiser.,Your university careers service can help you to find summer placement internship and year placement opportunities,"[{'label': 'neutral', 'score': 0.8898686170578003}, {'label': 'positive', 'score': 0.09609870612621307}, {'label': 'negative', 'score': 0.00727607449516654}, {'label': 'other', 'score': 0.0067566437646746635}]"
My brother worked as a Counter service assistant.,You may need You could do an intermediate apprenticeship in customer service or one as a hospitality team member,"[{'label': 'neutral', 'score': 0.9741019010543823}, {'label': 'positive', 'score': 0.014015953987836838}, {'label': 'negative', 'score': 0.00829688273370266}, {'label': 'other', 'score': 0.003585285972803831}]"
The uncle had a job as a Dry liner.,You can apply directly if youve got onsite construction experience in joinery plastering or ceiling fixing,"[{'label': 'neutral', 'score': 0.9693268537521362}, {'label': 'positive', 'score': 0.014835855923593044}, {'label': 'negative', 'score': 0.011316271498799324}, {'label': 'other', 'score': 0.004520948976278305}]"
The nephew had a job as a Reiki healer.,You may be able to gain some of the skills and knowledge to prepare for specialist Reiki training by doing a Wellbeing and holistic therapist advanced apprenticeship,"[{'label': 'positive', 'score': 0.9501875042915344}, {'label': 'neutral', 'score': 0.03966990113258362}, {'label': 'other', 'score': 0.008468479849398136}, {'label': 'negative', 'score': 0.0016740907449275255}]"
